source_system,incident_id,report_date,year,state,system_type,cause_text,type_of_disturbance,customers_affected,fatalities,injuries,property_damage_usd,control_telecom_categories,control_or_telecom_involved
OE-417,OE417-2018-0062,04/15/2018,2018,North Carolina: South Carolina:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",78100,,,,not control-system/telecom related,False
OE-417,OE417-2018-0063,05/02/2018,2018,North Carolina:,grid,Vandalism; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,0,,,,scada,True
OE-417,OE417-2018-0064,05/04/2018,2018,"Michigan: Calhoun County, Genesee County, Ingham County, Kent County, Macomb County, Midland County, Saginaw County, Gratiot County;",grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",90000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0065,05/04/2018,2018,Michigan:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",300000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0066,05/04/2018,2018,New York:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",106150,,,,not control-system/telecom related,False
OE-417,OE417-2018-0067,05/04/2018,2018,New Hampshire: Vermont:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",56000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0068,05/05/2018,2018,Vermont: New Hampshire: Maine:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",31900,,,,not control-system/telecom related,False
OE-417,OE417-2018-0069,05/07/2018,2018,New York: Tompkins County;,grid,Suspected Physical Attack; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspected Physical Attack; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,0,,,,scada,True
OE-417,OE417-2018-0070,05/08/2018,2018,Utah: Washington County;,grid,Actual Physical Attack; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,0,,,,scada,True
OE-417,OE417-2018-0071,05/14/2018,2018,Virginia:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",112000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0072,05/15/2018,2018,"Pennsylvania: Lehigh County, Schuylkill County, Cumberland County, Lancaster County, Northampton County, Berks County, Clinton County, Susquehanna County, Bucks County, Carbon County, Chester County, Columbia County, Juniata County;",grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",114000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0073,05/15/2018,2018,"New York: Dutchess County, Ulster County, Orange County;",grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",72000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0074,05/15/2018,2018,New Jersey:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",82372,,,,not control-system/telecom related,False
OE-417,OE417-2018-0075,05/15/2018,2018,Pennsylvania:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",52872,,,,not control-system/telecom related,False
OE-417,OE417-2018-0076,05/15/2018,2018,Connecticut: Massachusetts: Rhode Island:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",120000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0077,05/15/2018,2018,Massachusetts:,grid,Vandalism; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,0,,,,scada,True
OE-417,OE417-2018-0078,05/15/2018,2018,New York:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",49999,,,,not control-system/telecom related,False
OE-417,OE417-2018-0079,05/17/2018,2018,California: Contra Costa County;,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",70000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0080,05/17/2018,2018,California:,grid,"Transmission Disruption; Loss of electric service to more than 50,000 customers for 1 hour or more","Transmission Disruption; Loss of electric service to more than 50,000 customers for 1 hour or more",70000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0081,05/26/2018,2018,Texas: Harris County;,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",163932,,,,not control-system/telecom related,False
OE-417,OE417-2018-0082,06/02/2018,2018,"Missouri: Jackson County, Clay County, Platte County, Andrew County; Kansas: Johnson County;",grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",103535,,,,not control-system/telecom related,False
OE-417,OE417-2018-0083,06/04/2018,2018,Florida: Alachua County;,grid,Vandalism; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,0,,,,scada,True
OE-417,OE417-2018-0084,06/09/2018,2018,Georgia:,grid,System Operations; Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more,System Operations; Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more,0,,,,control_center,True
OE-417,OE417-2018-0085,06/10/2018,2018,Kentucky:,grid,System Operations; Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more,System Operations; Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more,Unknown,,,,control_center,True
OE-417,OE417-2018-0086,06/12/2018,2018,Nevada: Clark County;,grid,Vandalism; Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism; Damage or destruction of its Facility that results from actual or suspected intentional human action.,0,,,,not control-system/telecom related,False
OE-417,OE417-2018-0087,06/12/2018,2018,California: Kern County;,grid,Vandalism; Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism; Damage or destruction of its Facility that results from actual or suspected intentional human action.,0,,,,not control-system/telecom related,False
OE-417,OE417-2018-0088,06/18/2018,2018,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",112927,,,,not control-system/telecom related,False
OE-417,OE417-2018-0089,06/20/2018,2018,Florida: Palm Beach County;,grid,Transmission Interruption; Complete operational failure or shut-down of the transmission and/or distribution of electrical system,Transmission Interruption; Complete operational failure or shut-down of the transmission and/or distribution of electrical system,27000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0090,06/22/2018,2018,Washington:,grid,Severe Weather; Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system,Severe Weather; Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system,4200000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0091,06/27/2018,2018,New York: New York County;,grid,"Suspicious Activity; Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center","Suspicious Activity; Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center",0,,,,control_center,True
OE-417,OE417-2018-0092,06/28/2018,2018,Missouri: Illinois:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",112000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0093,06/28/2018,2018,Alabama: Georgia:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",48109,,,,not control-system/telecom related,False
