Event ID,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Event Type,Alert Criteria,Demand Loss (MW),Number of Customers Affected,Number of Fatalities,Number of Injuries,Estimated Cost,oe417_source_year,oe417_source_sheet
OE417-2011-0129,2011-06-09 00:00:00,04:30:00,2011-06-09 00:00:00,12:00:00,Illinois,RFC,Severe Thunderstorms,,UNK,169000,,,,2011,2011
OE417-2011-0130,2011-06-09 00:00:00,14:15:00,2011-06-09 00:00:00,14:15:00,"San Antonio Dam Area, Los Angeles County, California",WECC,Suspected Physical Attack,,0,0,,,,2011,2011
OE417-2011-0131,2011-06-09 00:00:00,17:51:00,2011-06-10 00:00:00,12:00:00,"Western, Massachusetts; Connecticut",NPCC,Severe Thunderstorms,,0,100000,,,,2011,2011
OE417-2011-0132,2011-06-12 00:00:00,19:00:00,2011-06-12 00:00:00,20:30:00,Virginia,RFC,Severe Thunderstorms,,250,56000,,,,2011,2011
OE417-2011-0133,2011-06-15 00:00:00,16:00:00,2011-06-16 00:00:00,06:30:00,"Bingham County, Idaho",WECC,Vandalism,,,,,,,2011,2011
OE417-2011-0134,2011-06-15 00:00:00,19:15:00,2011-06-16 00:00:00,06:00:00,Georgia,SERC,Severe Thunderstorms,,563,169000,,,,2011,2011
OE417-2011-0135,2011-06-15 00:00:00,19:17:00,2011-06-16 00:00:00,01:45:00,"Piedmont, North Carolina",SERC,Severe Thunderstorms,,300,70135,,,,2011,2011
OE417-2011-0136,2011-06-18 00:00:00,15:30:00,2011-06-19 00:00:00,15:42:00,"Northern, Georgia",SERC,Severe Thunderstorms,,312,93828,,,,2011,2011
OE417-2011-0137,2011-06-18 00:00:00,16:45:00,2011-06-20 00:00:00,23:59:00,"Eastern, Arkansas",SPP,Public Appeal to Reduce Electricity Usage,,UNK,UNK,,,,2011,2011
OE417-2011-0138,2011-06-18 00:00:00,17:00:00,2011-06-18 00:00:00,21:33:00,North Carolina; South Carolina,SERC,Severe Thunderstorms,,300,70000,,,,2011,2011
OE417-2011-0139,2011-06-20 00:00:00,10:36:00,2011-06-20 00:00:00,10:36:00,"Collins Substation, Washington",WECC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0140,2011-06-21 00:00:00,18:30:00,2011-06-22 00:00:00,07:00:00,AEP Region,RFC,Severe Weather,,UNK,56000,,,,2011,2011
OE417-2011-0141,2011-06-21 00:00:00,21:45:00,2011-06-23 00:00:00,02:00:00,Illinois,RFC,Severe Thunderstorms,,UNK,300000,,,,2011,2011
OE417-2011-0142,2011-06-22 00:00:00,09:46:00,2011-06-22 00:00:00,09:46:00,"Knoxville, Tennessee",SERC,Severe Weather,,UNK,106300,,,,2011,2011
OE417-2011-0143,2011-06-22 00:00:00,19:00:00,2011-06-23 00:00:00,01:00:00,Alabama; Georgia,SERC,Severe Thunderstorms,,316,75101,,,,2011,2011
OE417-2011-0144,2011-06-22 00:00:00,20:12:00,2011-06-22 00:00:00,20:12:00,"Knoble Substation, Spanaway, Washington",WECC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0145,2011-06-23 00:00:00,08:10:00,2011-06-23 00:00:00,09:00:00,"Highgate, Vermont",NPCC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0146,2011-06-24 00:00:00,18:30:00,2011-06-25 00:00:00,01:30:00,North/North Central Alabama; Georgia,SERC,Severe Thunderstorms,,340,102275,,,,2011,2011
OE417-2011-0147,2011-06-26 00:00:00,16:46:00,2011-06-27 00:00:00,07:59:00,Southwest Kansas,SPP,Public Appeal to Reduce Electricity Usage,,UNK,UNK,,,,2011,2011
OE417-2011-0148,2011-06-26 00:00:00,18:00:00,2011-06-27 00:00:00,13:00:00,Alabama; Georgia,SERC,Severe Thunderstorms,,300,90160,,,,2011,2011
OE417-2011-0149,2011-06-27 00:00:00,00:00:00,2011-06-29 00:00:00,01:00:00,Illinois; Missouri,SERC,Severe Thunderstorms,,UNK,80000,,,,2011,2011
OE417-2011-0150,2011-06-27 00:00:00,15:00:00,2011-06-27 00:00:00,19:00:00,Texas,TRE,Public Appeal to Reduce Electricity Usage,,0,0,,,,2011,2011
OE417-2011-0151,2011-06-27 00:00:00,18:55:00,2011-06-27 00:00:00,18:55:00,"Olympic Pipeline Substation, Washington",WECC,Vandalism,,UNK,UNK,,,,2011,2011
OE417-2011-0152,2011-06-29 00:00:00,11:30:00,2011-06-29 00:00:00,18:04:00,"Panhandle and Muleshoe, Texas",SPP,Public Appeal to Reduce Electricity Usage,,0,0,,,,2011,2011
OE417-2011-0153,2011-06-30 00:00:00,14:11:00,2011-06-30 00:00:00,23:25:00,"Phoenix, Arizona",WECC,Major System Interruption/Load Shed,,5299,160000,,,,2011,2011
OE417-2011-0154,2011-06-30 00:00:00,22:30:00,2011-07-01 00:00:00,17:00:00,Illinois,RFC,Severe Weather,,UNK,121000,,,,2011,2011
OE417-2011-0155,2011-06-30 00:00:00,22:31:00,2011-06-30 00:00:00,22:31:00,"Olympic Pipeline Substation, Washington",WECC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0156,2011-07-01 00:00:00,08:00:00,2011-07-01 00:00:00,08:01:00,"CONVEX Local Control Center, Connecticut",NPCC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0157,2011-07-01 00:00:00,16:38:00,2011-07-01 00:00:00,22:38:00,Greene County Ohio,RFC,Vandalism,,,0,,,,2011,2011
OE417-2011-0158,2011-07-01 00:00:00,17:00:00,2011-07-03 00:00:00,20:00:00,Southwest and South Central Minnesota,MRO,Severe Weather,,UNK,70000,,,,2011,2011
OE417-2011-0159,2011-07-02 00:00:00,20:15:00,2011-07-06 00:00:00,22:00:00,"South East, Lower Peninsula, Michigan",RFC,Severe Weather,,UNK,182000,,,,2011,2011
