,,"OE-417 Electric Emergency and Disturbance (OE-417) Events, 2023",,,,,,,,,
Event Year,Event Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
2023,March,03/22/2023,5:45 AM,03/22/2023,5:46 AM,Pennsylvania: Greene County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,621,0
2023,March,03/23/2023,5:19 PM,03/23/2023,6:06 PM,Washington: King County;,WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Cyber Event,0,0
2023,March,03/23/2023,11:37 AM,03/23/2023,11:38 AM,Texas: Tarrant County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,March,03/23/2023,12:39 AM,03/23/2023,12:40 AM,Nevada: Clark County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack/Vandalism,24,11479
2023,March,03/25/2023,4:13 PM,03/27/2023,6:30 PM,Michigan:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,5800,67893
2023,March,03/25/2023,4:12 PM,Unknown,Unknown,Ohio: West Virginia: Virginia:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,160801
2023,March,03/26/2023,12:52 PM,03/26/2023,1:54 PM,Washington: Oregon: Josephine County; California: Idaho: Utah: Wyoming: Montana:,WECC ,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,34,Unknown
2023,March,3/28/2023,6:03 PM,03/28/2023,8:08 PM,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,March,03/28/2023,5:22 AM,03/28/2023,6:57 AM,Texas: Montgomery County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2023,March,03/28/2023,10:05 AM,Unknown,Unknown,Texas: Hartley County;,TRE,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
